#,Video Title,Size (MB),Drive Link,Transcript Downloaded?,Transcript Filename,Notes
1,How To Download Fonts To Use In Canva _ Digital Course Academy.mp4,8.5,https://drive.google.com/file/d/1hrThKdvsIWjHVUkQuFeG7cWnuYBq4oPz/view?usp=drivesdk,,,
2,The Basics of Using Canva _ Digital Course Academy.mp4,113.6,https://drive.google.com/file/d/1Mycif-avJUuWAYpehb0R1TuliM-5XNYJ/view?usp=drivesdk,,,
3,How To Use Canva's Magic AI Features _ Digital Course Academy.mp4,31.5,https://drive.google.com/file/d/1hlve9EztCwvgglUWR9Y5jOcaAXViSigZ/view?usp=drivesdk,,,
4,How To Embed A Video Onto Your Website Template In Canva _ Digital Course Academy.mp4,12.7,https://drive.google.com/file/d/1G6p7GzzZy0iu_ydwuN78G6sAftIlDSsB/view?usp=drivesdk,,,
5,How To Publish Your Website Template On Canva _ Digital Course Academy.mp4,21.4,https://drive.google.com/file/d/1ro65OPfLK0Z3JAojhLh6mh2TDU9VoIRv/view?usp=drivesdk,,,
6,How To Embed A Form Onto Your Website Template In Canva _ Digital Course Academy.mp4,9.1,https://drive.google.com/file/d/1FiMyNp30_jjkGBNoCn4flVX8yaogDlXG/view?usp=drivesdk,,,
7,How To Customize Your Canva Webpage Templates _ Digital Course Academy.mp4,43.1,https://drive.google.com/file/d/1IONyvp9pkVHCvTR7n1NUph-VVnXhNX8f/view?usp=drivesdk,,,
8,How To Add Your Website Templates To Your Canva Account _ Digital Course Academy.mp4,26.4,https://drive.google.com/file/d/1StY8XKkN95oo4_to4vwH1jvjKmsyBnII/view?usp=drivesdk,,,
9,How To Download Fonts To Use In Showit _ Digital Course Academy.mp4,12.3,https://drive.google.com/file/d/1ETaH50Ljin3q0fOXQFL1oPTv_ThWYjhG/view?usp=drivesdk,,,
10,How To Embed A Video Onto Your Website Inside Showit _ Digital Course Academy.mp4,12.0,https://drive.google.com/file/d/17xKGxjiJYyCKO52oEOcxqXimD6X4kwtr/view?usp=drivesdk,,,
11,The Basics of Using Showit _ Digital Course Academy.mp4,78.9,https://drive.google.com/file/d/1-RcvLjSJl4pvUY32TaMJuzdUuY1lsmNk/view?usp=drivesdk,,,
12,How To Embed A Form Onto Your Website Template In Showit _ Digital Course Academy.mp4,8.2,https://drive.google.com/file/d/1Q_6yfzHa6T7yAJbPQquJZ4Jf-UKEQQTv/view?usp=drivesdk,,,
13,How to Customize Your Showit Website Templates _ Digital Course Academy.mp4,60.2,https://drive.google.com/file/d/11__FRBToUy5lwTHffQQNzAD8tsnnF5ME/view?usp=drivesdk,,,
14,How To Add Your Website Templates Into Your Showit Account _ Digital Course Academy.mp4,23.8,https://drive.google.com/file/d/1jwLpOirjzFSZ4WoF07edBr4zzaYb2xuv/view?usp=drivesdk,,,
